ukprn,he_provider,year,country,students
10037544,BIMM University,2020/2021,cyprus_(european_union),15
10007760,Birkbeck College,2020/2021,cyprus_(european_union),5
10007140,Birmingham City University,2020/2021,cyprus_(european_union),30
10006840,The University of Birmingham,2020/2021,cyprus_(european_union),55
10000712,University College Birmingham,2020/2021,cyprus_(european_union),30
10006841,The University of Bolton,2020/2021,cyprus_(european_union),25
10000385,The Arts University Bournemouth,2020/2021,cyprus_(european_union),5
10000824,Bournemouth University,2020/2021,cyprus_(european_union),15
10031982,BPP University,2020/2021,cyprus_(european_union),10
10007785,The University of Bradford,2020/2021,cyprus_(european_union),10
10000886,The University of Brighton,2020/2021,cyprus_(european_union),45
10007786,The University of Bristol,2020/2021,cyprus_(european_union),145
10000961,Brunel University London,2020/2021,cyprus_(european_union),40
10000975,Buckinghamshire New University,2020/2021,cyprus_(european_union),15
10007787,The University of Buckingham,2020/2021,cyprus_(european_union),5
10007788,The University of Cambridge,2020/2021,cyprus_(european_union),110
10001143,Canterbury Christ Church University,2020/2021,cyprus_(european_union),30
10007814,Cardiff University,2020/2021,cyprus_(european_union),140
10007854,Cardiff Metropolitan University,2020/2021,cyprus_(european_union),10
10007141,The University of Central Lancashire,2020/2021,cyprus_(european_union),50
10007848,University of Chester,2020/2021,cyprus_(european_union),25
10007137,The University of Chichester,2020/2021,cyprus_(european_union),5
10001478,"City, University of London",2020/2021,cyprus_(european_union),85
10001653,Conservatoire for Dance and Drama,2020/2021,cyprus_(european_union),5
10001726,Coventry University,2020/2021,cyprus_(european_union),165
10007822,Cranfield University,2020/2021,cyprus_(european_union),10
10006427,University for the Creative Arts,2020/2021,cyprus_(european_union),20
10001883,De Montfort University,2020/2021,cyprus_(european_union),230
10007851,University of Derby,2020/2021,cyprus_(european_union),75
10007852,The University of Dundee,2020/2021,cyprus_(european_union),40
10007143,University of Durham,2020/2021,cyprus_(european_union),40
10007789,The University of East Anglia,2020/2021,cyprus_(european_union),75
10007144,The University of East London,2020/2021,cyprus_(european_union),10
10007823,Edge Hill University,2020/2021,cyprus_(european_union),5
10007772,Edinburgh Napier University,2020/2021,cyprus_(european_union),15
10007790,The University of Edinburgh,2020/2021,cyprus_(european_union),170
10007791,The University of Essex,2020/2021,cyprus_(european_union),300
10007792,The University of Exeter,2020/2021,cyprus_(european_union),25
10008640,Falmouth University,2020/2021,cyprus_(european_union),10
10045476,Met Film School Limited,2020/2021,cyprus_(european_union),5
10007762,Glasgow Caledonian University,2020/2021,cyprus_(european_union),45
10002681,Glasgow School of Art,2020/2021,cyprus_(european_union),10
10007794,The University of Glasgow,2020/2021,cyprus_(european_union),65
10007145,University of Gloucestershire,2020/2021,cyprus_(european_union),5
10002718,Goldsmiths College,2020/2021,cyprus_(european_union),15
10007146,The University of Greenwich,2020/2021,cyprus_(european_union),20
10040812,Harper Adams University,2020/2021,cyprus_(european_union),5
10007764,Heriot-Watt University,2020/2021,cyprus_(european_union),20
10007147,University of Hertfordshire,2020/2021,cyprus_(european_union),50
10007148,The University of Huddersfield,2020/2021,cyprus_(european_union),95
10007149,The University of Hull,2020/2021,cyprus_(european_union),25
10003270,"Imperial College of Science, Technology and Medicine",2020/2021,cyprus_(european_union),195
10007767,Keele University,2020/2021,cyprus_(european_union),30
10007150,The University of Kent,2020/2021,cyprus_(european_union),45
10003645,King's College London,2020/2021,cyprus_(european_union),130
10003678,Kingston University,2020/2021,cyprus_(european_union),15
10007768,The University of Lancaster,2020/2021,cyprus_(european_union),140
10003854,Leeds Arts University,2020/2021,cyprus_(european_union),5
10003861,Leeds Beckett University,2020/2021,cyprus_(european_union),90
10003798,Le Cordon Bleu Limited,2020/2021,cyprus_(european_union),5
10034449,Leeds Conservatoire,2020/2021,cyprus_(european_union),5
10007795,The University of Leeds,2020/2021,cyprus_(european_union),180
10007796,The University of Leicester,2020/2021,cyprus_(european_union),110
10007151,The University of Lincoln,2020/2021,cyprus_(european_union),10
10003956,Liverpool Hope University,2020/2021,cyprus_(european_union),5
10003957,Liverpool John Moores University,2020/2021,cyprus_(european_union),30
10003945,The Liverpool Institute for Performing Arts,2020/2021,cyprus_(european_union),5
10006842,The University of Liverpool,2020/2021,cyprus_(european_union),85
10007162,"University of the Arts, London",2020/2021,cyprus_(european_union),55
10007797,University of London (Institutes and activities),2020/2021,cyprus_(european_union),5
10004048,London Metropolitan University,2020/2021,cyprus_(european_union),10
10004078,London South Bank University,2020/2021,cyprus_(european_union),5
10004063,London School of Economics and Political Science,2020/2021,cyprus_(european_union),70
10004079,London Studio Centre,2020/2021,cyprus_(european_union),5
10004113,Loughborough University,2020/2021,cyprus_(european_union),45
10004180,The Manchester Metropolitan University,2020/2021,cyprus_(european_union),85
10007798,The University of Manchester,2020/2021,cyprus_(european_union),195
10009527,Istituto Marangoni Limited,2020/2021,cyprus_(european_union),5
10007799,Newcastle University,2020/2021,cyprus_(european_union),170
10007138,The University of Northampton,2020/2021,cyprus_(european_union),5
10001282,University of Northumbria at Newcastle,2020/2021,cyprus_(european_union),240
10004775,Norwich University of the Arts,2020/2021,cyprus_(european_union),5
10007154,University of Nottingham,2020/2021,cyprus_(european_union),220
10004797,The Nottingham Trent University,2020/2021,cyprus_(european_union),105
10007773,The Open University,2020/2021,cyprus_(european_union),55
10004930,Oxford Brookes University,2020/2021,cyprus_(european_union),30
10007774,The University of Oxford,2020/2021,cyprus_(european_union),20
10007801,University of Plymouth,2020/2021,cyprus_(european_union),40
10007155,The University of Portsmouth,2020/2021,cyprus_(european_union),135
10005337,"Queen Margaret University, Edinburgh",2020/2021,cyprus_(european_union),10
10007775,Queen Mary University of London,2020/2021,cyprus_(european_union),170
10005544,Royal Academy of Dance,2020/2021,cyprus_(european_union),5
10007802,The University of Reading,2020/2021,cyprus_(european_union),370
10005500,Robert Gordon University,2020/2021,cyprus_(european_union),10
10007776,Roehampton University,2020/2021,cyprus_(european_union),10
10007777,Royal College of Art,2020/2021,cyprus_(european_union),10
10005561,Royal Conservatoire of Scotland,2020/2021,cyprus_(european_union),5
10005553,Royal Holloway and Bedford New College,2020/2021,cyprus_(european_union),15
10007803,The University of St. Andrews,2020/2021,cyprus_(european_union),20
10007782,"St George's, University of London",2020/2021,cyprus_(european_union),5
10007843,"St Mary's University, Twickenham",2020/2021,cyprus_(european_union),5
10007156,The University of Salford,2020/2021,cyprus_(european_union),55
10007780,SOAS University of London,2020/2021,cyprus_(european_union),5
10005790,Sheffield Hallam University,2020/2021,cyprus_(european_union),105
10007157,The University of Sheffield,2020/2021,cyprus_(european_union),210
10006022,Solent University,2020/2021,cyprus_(european_union),85
10007158,The University of Southampton,2020/2021,cyprus_(european_union),150
10006299,Staffordshire University,2020/2021,cyprus_(european_union),10
10007804,The University of Stirling,2020/2021,cyprus_(european_union),35
10007805,The University of Strathclyde,2020/2021,cyprus_(european_union),10
10014001,University of Suffolk,2020/2021,cyprus_(european_union),5
10007159,The University of Sunderland,2020/2021,cyprus_(european_union),180
10007160,The University of Surrey,2020/2021,cyprus_(european_union),275
10007806,The University of Sussex,2020/2021,cyprus_(european_union),105
10007855,Swansea University,2020/2021,cyprus_(european_union),130
10007161,Teesside University,2020/2021,cyprus_(european_union),20
10008017,Trinity Laban Conservatoire of Music and Dance,2020/2021,cyprus_(european_union),15
10007858,University of Wales Trinity Saint David,2020/2021,cyprus_(european_union),5
10007114,University of the Highlands and Islands,2020/2021,cyprus_(european_union),5
10039956,The University of Law,2020/2021,cyprus_(european_union),55
10007784,University College London,2020/2021,cyprus_(european_union),260
10007793,University of South Wales,2020/2021,cyprus_(european_union),80
10007163,The University of Warwick,2020/2021,cyprus_(european_union),140
10007164,"University of the West of England, Bristol",2020/2021,cyprus_(european_union),85
10007800,The University of the West of Scotland,2020/2021,cyprus_(european_union),25
10006566,The University of West London,2020/2021,cyprus_(european_union),15
10007165,The University of Westminster,2020/2021,cyprus_(european_union),35
10003614,The University of Winchester,2020/2021,cyprus_(european_union),5
10007166,The University of Wolverhampton,2020/2021,cyprus_(european_union),10
10007657,Writtle University College,2020/2021,cyprus_(european_union),5
10007713,York St John University,2020/2021,cyprus_(european_union),5
10007167,The University of York,2020/2021,cyprus_(european_union),25
10007794,The University of Glasgow,2020/2021,cyprus_not_otherwise_specified,180
,Total,2020/2021,cyprus_not_otherwise_specified,195
10007783,The University of Aberdeen,2020/2021,czech_republic,75
10007849,Abertay University,2020/2021,czech_republic,10
10007856,Aberystwyth University,2020/2021,czech_republic,20
10000291,Anglia Ruskin University,2020/2021,czech_republic,30
10007759,Aston University,2020/2021,czech_republic,5
10007857,Bangor University,2020/2021,czech_republic,15
10000571,Bath Spa University,2020/2021,czech_republic,5
10007850,The University of Bath,2020/2021,czech_republic,30
10005343,Queen's University Belfast,2020/2021,czech_republic,5
10037544,BIMM University,2020/2021,czech_republic,5
10007760,Birkbeck College,2020/2021,czech_republic,15
10007140,Birmingham City University,2020/2021,czech_republic,10
10006840,The University of Birmingham,2020/2021,czech_republic,35
10000712,University College Birmingham,2020/2021,czech_republic,70
10000385,The Arts University Bournemouth,2020/2021,czech_republic,5
10000824,Bournemouth University,2020/2021,czech_republic,5
10031982,BPP University,2020/2021,czech_republic,5
10007785,The University of Bradford,2020/2021,czech_republic,5
10000886,The University of Brighton,2020/2021,czech_republic,10
10007786,The University of Bristol,2020/2021,czech_republic,20
10000961,Brunel University London,2020/2021,czech_republic,5
10000975,Buckinghamshire New University,2020/2021,czech_republic,15
10007788,The University of Cambridge,2020/2021,czech_republic,50
10007814,Cardiff University,2020/2021,czech_republic,25
10007141,The University of Central Lancashire,2020/2021,czech_republic,30
10007848,University of Chester,2020/2021,czech_republic,5
10007137,The University of Chichester,2020/2021,czech_republic,5
10001478,"City, University of London",2020/2021,czech_republic,15
10001726,Coventry University,2020/2021,czech_republic,45
10006427,University for the Creative Arts,2020/2021,czech_republic,10
10001883,De Montfort University,2020/2021,czech_republic,10
10007851,University of Derby,2020/2021,czech_republic,140
10007852,The University of Dundee,2020/2021,czech_republic,15
10007143,University of Durham,2020/2021,czech_republic,15
10007789,The University of East Anglia,2020/2021,czech_republic,5
10007144,The University of East London,2020/2021,czech_republic,5
10007772,Edinburgh Napier University,2020/2021,czech_republic,20
10007790,The University of Edinburgh,2020/2021,czech_republic,85
10007791,The University of Essex,2020/2021,czech_republic,60
10007792,The University of Exeter,2020/2021,czech_republic,30
10008640,Falmouth University,2020/2021,czech_republic,15
10004511,The National Film and Television School,2020/2021,czech_republic,5
10007762,Glasgow Caledonian University,2020/2021,czech_republic,5
10007794,The University of Glasgow,2020/2021,czech_republic,85
10002718,Goldsmiths College,2020/2021,czech_republic,10
10007146,The University of Greenwich,2020/2021,czech_republic,60
10007825,Guildhall School of Music and Drama,2020/2021,czech_republic,5
10040812,Harper Adams University,2020/2021,czech_republic,5
10007764,Heriot-Watt University,2020/2021,czech_republic,5
10007147,University of Hertfordshire,2020/2021,czech_republic,10
10007148,The University of Huddersfield,2020/2021,czech_republic,10
10007149,The University of Hull,2020/2021,czech_republic,5
10003270,"Imperial College of Science, Technology and Medicine",2020/2021,czech_republic,35
10035638,Institute of Contemporary Music Performance,2020/2021,czech_republic,5
